bin                 q                   two_theta           Fx                  Icoh               
125                 6.275000            100.581515          0.101326            185.219047         
126                 6.325000            101.687407          -0.377143           103.269268         
127                 6.375000            102.806564          -0.929504           11.523366          
128                 6.425000            103.939587          -1.281324           -45.338792         
129                 6.475000            105.087117          -1.299561           -47.601251         
130                 6.525000            106.249848          -1.082933           -12.994290         
131                 6.575000            107.428524          -0.872331           19.725088          
132                 6.625000            108.623951          -0.865112           20.551338          
133                 6.675000            109.836998          -1.076647           -11.516393         
134                 6.725000            111.068612          -1.345400           -51.181958         
135                 6.775000            112.319822          -1.466230           -68.138566         
136                 6.825000            113.591749          -1.344507           -49.660559         
137                 6.875000            114.885624          -1.055361           -7.871582          
138                 6.925000            116.202798          -0.769254           32.363925          
139                 6.975000            117.544760          -0.607222           54.345917          
140                 7.025000            118.913161          -0.541245           62.620918          
141                 7.075000            120.309835          -0.420146           78.090924          
142                 7.125000            121.736832          -0.105965           118.796978         
143                 7.175000            123.196454          0.380263            180.970537         
144                 7.225000            124.691300          0.818003            235.213622         
145                 7.275000            126.224327          0.896766            242.175771         
146                 7.325000            127.798915          0.415001            178.299406         
147                 7.375000            129.418964          -0.560015           54.718585          
148                 7.425000            131.089011          -1.681639           -83.672825         
149                 7.475000            132.814382          -2.480247           -179.359741        
150                 7.525000            134.601405          -2.597950           -191.136646        
151                 7.575000            136.457691          -1.963734           -113.803896        
152                 7.625000            138.392530          -0.810030           22.148011          
153                 7.675000            140.417463          0.468491            169.043765         
154                 7.725000            142.547122          1.518929            286.321038         
155                 7.775000            144.800537          2.173483            356.216169         
156                 7.825000            147.203232          2.459915            383.542953         
157                 7.875000            149.790834          2.499192            383.105909         
158                 7.925000            152.615740          2.379777            365.488278         
159                 7.975000            155.760812          2.100402            331.184195         
160                 8.025000            159.372018          1.612166            275.645575         
161                 8.075000            163.757393          0.913408            199.475258         
162                 8.125000            169.877623          0.112570            114.596862         
163                 8.175000            -1.000000           -0.598908           40.821245          
164                 8.225000            -1.000000           -1.051119           -5.141126          
