bin                 q                   S                  
219                 10.975000           -58.072228         
220                 11.025000           -36.547144         
221                 11.075000           12.405406          
222                 11.125000           67.051059          
223                 11.175000           103.998305         
224                 11.225000           108.627602         
225                 11.275000           81.430042          
226                 11.325000           36.984636          
227                 11.375000           -3.630335          
228                 11.425000           -22.710597         
229                 11.475000           -12.977262         
230                 11.525000           21.154606          
231                 11.575000           67.517191          
232                 11.625000           112.167334         
233                 11.675000           144.025441         
234                 11.725000           156.693738         
235                 11.775000           148.259775         
236                 11.825000           120.830344         
237                 11.875000           80.641412          
238                 11.925000           37.909348          
239                 11.975000           4.822246           
240                 12.025000           -8.861864          
241                 12.075000           -0.911901          
242                 12.125000           20.847956          
243                 12.175000           41.161944          
244                 12.225000           44.777116          
245                 12.275000           24.976382          
246                 12.325000           -11.885009         
247                 12.375000           -49.029681         
248                 12.425000           -68.018287         
249                 12.475000           -58.617901         
250                 12.525000           -23.890739         
251                 12.575000           22.456484          
252                 12.625000           64.495875          
253                 12.675000           92.659165          
254                 12.725000           106.998888         
255                 12.775000           113.527070         
256                 12.825000           116.969511         
257                 12.875000           115.787568         
258                 12.925000           103.543839         
259                 12.975000           75.789136          
260                 13.025000           37.113624          
261                 13.075000           2.242363           
262                 13.125000           -11.076135         
263                 13.175000           6.394294           
264                 13.225000           47.164546          
265                 13.275000           88.677960          
266                 13.325000           105.349776         
267                 13.375000           84.391619          
268                 13.425000           35.464928          
269                 13.475000           -12.785266         
270                 13.525000           -28.401397         
271                 13.575000           4.788467           
272                 13.625000           76.159706          
273                 13.675000           152.479864         
274                 13.725000           195.400123         
275                 13.775000           182.288216         
276                 13.825000           118.365039         
277                 13.875000           33.315656          
278                 13.925000           -35.235190         
279                 13.975000           -61.482487         
280                 14.025000           -43.233768         
281                 14.075000           0.077178           
282                 14.125000           40.568944          
283                 14.175000           57.597517          
284                 14.225000           46.950025          
285                 14.275000           19.606394          
286                 14.325000           -7.193173          
287                 14.375000           -19.901744         
288                 14.425000           -13.852761         
289                 14.475000           7.751982           
290                 14.525000           38.164514          
291                 14.575000           70.544713          
292                 14.625000           98.526739          
293                 14.675000           115.255533         
294                 14.725000           113.864519         
295                 14.775000           90.852221          
296                 14.825000           50.487577          
297                 14.875000           6.176373           
298                 14.925000           -24.123116         
299                 14.975000           -27.217665         
300                 15.025000           -3.323287          
301                 15.075000           32.229662          
302                 15.125000           56.764748          
303                 15.175000           53.789142          
304                 15.225000           24.033030          
305                 15.275000           -13.609104         
306                 15.325000           -32.877870         
307                 15.375000           -16.648637         
308                 15.425000           31.194045          
309                 15.475000           86.544914          
310                 15.525000           118.794507         
311                 15.575000           109.346819         
312                 15.625000           63.339356          
313                 15.675000           6.922417           
314                 15.725000           -28.493951         
315                 15.775000           -25.248916         
316                 15.825000           10.282608          
317                 15.875000           52.598937          
318                 15.925000           73.928713          
319                 15.975000           62.144568          
320                 16.025000           28.246027          
321                 16.075000           -1.248167          
322                 16.125000           -1.882524          
323                 16.175000           32.641631          
324                 16.225000           86.166105          
325                 16.275000           130.080484         
326                 16.325000           140.906878         
327                 16.375000           114.096864         
328                 16.425000           65.519201          
329                 16.475000           20.371254          
330                 16.525000           -2.663487          
331                 16.575000           -1.560671          
332                 16.625000           10.696028          
333                 16.675000           17.488491          
334                 16.725000           11.191819          
335                 16.775000           -1.802285          
336                 16.825000           -6.857336          
337                 16.875000           6.829430           
338                 16.925000           36.711876          
339                 16.975000           66.949671          
340                 17.025000           78.302091          
341                 17.075000           61.203081          
342                 17.125000           23.007290          
343                 17.175000           -15.775503         
344                 17.225000           -34.040552         
345                 17.275000           -23.270406         
346                 17.325000           7.328465           
347                 17.375000           37.113616          
348                 17.425000           47.573274          
349                 17.475000           34.272331          
350                 17.525000           9.411860           
351                 17.575000           -6.556246          
352                 17.625000           1.323775           
353                 17.675000           32.385369          
354                 17.725000           70.337680          
355                 17.775000           93.274132          
356                 17.825000           87.197400          
357                 17.875000           54.509928          
358                 17.925000           12.350705          
359                 17.975000           -17.819238         
360                 18.025000           -22.635939         
361                 18.075000           -3.654064          
362                 18.125000           25.113746          
363                 18.175000           46.690223          
364                 18.225000           51.312660          
365                 18.275000           41.112935          
366                 18.325000           27.082513          
367                 18.375000           21.061833          
368                 18.425000           28.236152          
369                 18.475000           44.652060          
370                 18.525000           60.600795          
371                 18.575000           66.977251          
372                 18.625000           60.305415          
373                 18.675000           43.636871          
374                 18.725000           23.603510          
375                 18.775000           6.299315           
376                 18.825000           -5.129172          
377                 18.875000           -10.117732         
378                 18.925000           -8.752550          
379                 18.975000           -0.494016          
380                 19.025000           15.106191          
381                 19.075000           36.318510          
382                 19.125000           57.841450          
383                 19.175000           71.914864          
384                 19.225000           71.949106          
385                 19.275000           56.626799          
386                 19.325000           31.679007          
387                 19.375000           7.737231           
388                 19.425000           -4.896607          
389                 19.475000           -1.647959          
390                 19.525000           13.970002          
391                 19.575000           32.493404          
392                 19.625000           43.899866          
393                 19.675000           43.060194          
394                 19.725000           32.071313          
395                 19.775000           18.245431          
396                 19.825000           9.176934           
397                 19.875000           8.011306           
398                 19.925000           11.795390          
399                 19.975000           13.815150          
