q          ff_group_dir ff_group_fit C          H          
10.6500    1.2847     1.2870     1.2722     0.0126     
10.7500    1.2761     1.2784     1.2640     0.0122     
10.8500    1.2676     1.2698     1.2558     0.0118     
10.9500    1.2590     1.2611     1.2476     0.0114     
11.0500    1.2504     1.2525     1.2394     0.0111     
11.1500    1.2419     1.2439     1.2312     0.0107     
11.2500    1.2333     1.2353     1.2230     0.0104     
11.3500    1.2248     1.2267     1.2148     0.0101     
11.4500    1.2163     1.2181     1.2066     0.0097     
11.5500    1.2078     1.2095     1.1984     0.0094     
11.6500    1.1993     1.2009     1.1902     0.0092     
11.7500    1.1908     1.1924     1.1820     0.0089     
11.8500    1.1824     1.1838     1.1738     0.0086     
11.9500    1.1739     1.1752     1.1656     0.0084     
12.0500    1.1655     1.1667     1.1574     0.0081     
12.1500    1.1571     1.1582     1.1492     0.0079     
12.2500    1.1487     1.1496     1.1410     0.0076     
12.3500    1.1403     1.1411     1.1329     0.0074     
12.4500    1.1319     1.1326     1.1247     0.0072     
12.5500    1.1235     1.1242     1.1165     0.0070     
12.6500    1.1152     1.1157     1.1084     0.0068     
12.7500    1.1068     1.1073     1.1003     0.0066     
12.8500    1.0985     1.0988     1.0921     0.0064     
12.9500    1.0902     1.0904     1.0840     0.0062     
13.0500    1.0819     1.0820     1.0759     0.0060     
13.1500    1.0737     1.0737     1.0678     0.0058     
13.2500    1.0654     1.0653     1.0598     0.0057     
13.3500    1.0572     1.0570     1.0517     0.0055     
13.4500    1.0490     1.0487     1.0437     0.0053     
13.5500    1.0409     1.0405     1.0357     0.0052     
13.6500    1.0327     1.0322     1.0277     0.0050     
13.7500    1.0246     1.0240     1.0197     0.0049     
13.8500    1.0165     1.0158     1.0118     0.0048     
13.9500    1.0085     1.0077     1.0038     0.0046     
14.0500    1.0004     0.9996     0.9959     0.0045     
14.1500    0.9924     0.9915     0.9880     0.0044     
14.2500    0.9844     0.9834     0.9802     0.0043     
14.3500    0.9765     0.9754     0.9723     0.0041     
14.4500    0.9686     0.9674     0.9645     0.0040     
14.5500    0.9607     0.9595     0.9567     0.0039     
14.6500    0.9528     0.9515     0.9490     0.0038     
14.7500    0.9450     0.9437     0.9413     0.0037     
14.8500    0.9372     0.9358     0.9336     0.0036     
14.9500    0.9294     0.9280     0.9259     0.0035     
15.0500    0.9217     0.9202     0.9183     0.0034     
15.1500    0.9140     0.9125     0.9107     0.0033     
15.2500    0.9064     0.9048     0.9031     0.0033     
15.3500    0.8987     0.8972     0.8956     0.0032     
15.4500    0.8912     0.8896     0.8881     0.0031     
15.5500    0.8836     0.8820     0.8806     0.0030     
15.6500    0.8761     0.8745     0.8732     0.0029     
15.7500    0.8687     0.8670     0.8658     0.0029     
15.8500    0.8612     0.8596     0.8584     0.0028     
15.9500    0.8538     0.8522     0.8511     0.0027     
16.0500    0.8465     0.8449     0.8438     0.0027     
16.1500    0.8392     0.8376     0.8366     0.0026     
16.2500    0.8319     0.8304     0.8294     0.0026     
16.3500    0.8247     0.8232     0.8222     0.0025     
16.4500    0.8175     0.8160     0.8151     0.0025     
