# Histogrammed data for fix fave
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
0 250 329312697.5619732 0 10.043521840783393 99.97840508922243
143 61.3 1.64594e-22 4.99812e-31
144 61.66 2.37782e-22 7.22057e-31
145 62.02 2.0545e-22 6.23875e-31
146 62.38 2.58371e-22 7.84576e-31
147 62.74 1.50992e-22 4.58505e-31
148 63.1 1.62813e-22 4.94401e-31
149 63.46 2.7004e-22 8.20012e-31
150 63.82 1.84087e-22 5.59004e-31
151 64.18 1.52911e-22 4.64333e-31
152 64.54 3.52336e-22 1.06991e-30
153 64.9 2.85617e-22 8.67313e-31
154 65.26 2.39494e-22 7.27256e-31
155 65.62 2.05706e-22 6.24653e-31
156 65.98 2.36658e-22 7.18642e-31
157 66.34 2.16054e-22 6.56074e-31
158 66.7 1.4548e-22 4.41769e-31
159 67.06 7.3607e-23 2.23517e-31
160 67.42 3.28376e-22 9.97155e-31
161 67.78 1.81413e-22 5.50883e-31
162 68.14 3.29371e-22 1.00018e-30
163 68.5 9.97313e-23 3.02847e-31
164 68.86 1.12978e-22 3.43072e-31
165 69.22 2.00545e-22 6.08982e-31
166 69.58 1.46976e-22 4.46312e-31
167 69.94 3.9954e-22 1.21326e-30
168 70.3 9.25961e-23 2.8118e-31
169 70.66 1.60953e-22 4.88754e-31
170 71.02 1.30262e-22 3.95557e-31
171 71.38 1.52017e-22 4.6162e-31
172 71.74 1.89906e-22 5.76675e-31
173 72.1 5.25524e-22 1.59582e-30
174 72.46 2.51579e-22 7.63953e-31
175 72.82 1.55584e-22 4.72451e-31
176 73.18 1.43742e-22 4.36492e-31
177 73.54 1.44401e-22 4.38493e-31
178 73.9 1.40906e-22 4.27879e-31
179 74.26 6.96388e-22 2.11467e-30
180 74.62 1.64085e-22 4.98264e-31
181 74.98 5.24993e-22 1.59421e-30
182 75.34 1.60411e-22 4.87109e-31
183 75.7 2.3258e-22 7.0626e-31
184 76.06 8.62355e-23 2.61865e-31
185 76.42 4.05089e+07 0.12301
186 76.78 1.84623e-22 5.60631e-31
187 77.14 1.47007e-22 4.46405e-31
188 77.5 1.57398e-22 4.77959e-31
189 77.86 3.43127e-22 1.04195e-30
190 78.22 1.28167e-22 3.89196e-31
191 78.58 1.1968e-22 3.63423e-31
192 78.94 7.64333e-22 2.32099e-30
193 79.3 1.98282e-22 6.02107e-31
194 79.66 1.69303e-22 5.14111e-31
195 80.02 2.32875e-22 7.07154e-31
196 80.38 1.8944e-22 5.75258e-31
197 80.74 3.85566e-22 1.17082e-30
198 81.1 4.20624e-22 1.27728e-30
199 81.46 1.04791e-22 3.1821e-31
200 81.82 1.41379e-22 4.29315e-31
201 82.18 2.18487e-22 6.63464e-31
202 82.54 1.9931e-22 6.05231e-31
203 82.9 1.74135e-22 5.28783e-31
204 83.26 1.2773e-22 3.87869e-31
205 83.62 6.06352e-22 1.84126e-30
206 83.98 1.23559e-22 3.75203e-31
207 84.34 2.36145e-22 7.17086e-31
208 84.7 3.4558e-22 1.0494e-30
209 85.06 1.38638e-22 4.20991e-31
210 85.42 1.03643e-22 3.14726e-31
