q	S(q)
14.025000	-1.067779 
14.075000	-0.022310 
14.125000	0.981932 
14.175000	1.425952 
14.225000	1.181942 
14.275000	0.503670 
14.325000	-0.180836 
14.375000	-0.518131 
14.425000	-0.372451 
14.475000	0.184755 
14.525000	0.977860 
14.575000	1.820303 
14.625000	2.540266 
14.675000	2.963149 
14.725000	2.921273 
14.775000	2.331555 
14.825000	1.302041 
14.875000	0.169089 
14.925000	-0.611601 
14.975000	-0.697428 
15.025000	-0.083252 
15.075000	0.844212 
15.125000	1.496370 
15.175000	1.431778 
15.225000	0.653751 
15.275000	-0.348856 
15.325000	-0.874595 
15.375000	-0.448318 
15.425000	0.846939 
15.475000	2.370901 
15.525000	3.283878 
15.575000	3.053723 
15.625000	1.795183 
15.675000	0.218087 
15.725000	-0.795685 
15.775000	-0.727001 
15.825000	0.271453 
15.875000	1.490046 
15.925000	2.128736 
15.975000	1.815846 
16.025000	0.844834 
16.075000	-0.023042 
16.125000	-0.060991 
16.175000	0.942267 
16.225000	2.532911 
16.275000	3.866914 
16.325000	4.227470 
16.375000	3.450693 
16.425000	1.993291 
16.475000	0.615258 
16.525000	-0.099823 
16.575000	-0.069121 
16.625000	0.320196 
16.675000	0.550355 
16.725000	0.368838 
16.775000	-0.038866 
16.825000	-0.214131 
16.875000	0.198473 
16.925000	1.138960 
16.975000	2.115085 
17.025000	2.505593 
17.075000	1.982205 
17.125000	0.759643 
17.175000	-0.506816 
17.225000	-1.120560 
17.275000	-0.781450 
17.325000	0.227035 
17.375000	1.227726 
17.425000	1.594438 
17.475000	1.160189 
17.525000	0.321152 
17.575000	-0.231552 
17.625000	0.023873 
17.675000	1.083041 
17.725000	2.398015 
17.775000	3.210272 
17.825000	3.019865 
17.875000	1.893219 
17.925000	0.420441 
17.975000	-0.641697 
18.025000	-0.810581 
18.075000	-0.130508 
18.125000	0.903595 
18.175000	1.681150 
18.225000	1.845523 
18.275000	1.471040 
18.325000	0.958969 
18.375000	0.745905 
18.425000	1.024541 
18.475000	1.647341 
18.525000	2.250023 
18.575000	2.490128 
18.625000	2.238167 
18.675000	1.612665 
18.725000	0.867060 
18.775000	0.230483 
18.825000	-0.184817 
18.875000	-0.366125 
18.925000	-0.320045 
18.975000	-0.019085 
19.025000	0.568911 
19.075000	1.391752 
19.125000	2.248661 
19.175000	2.828422 
19.225000	2.855108 
19.275000	2.260195 
19.325000	1.264235 
19.375000	0.296812 
19.425000	-0.216001 
19.475000	-0.078097 
19.525000	0.571936 
19.575000	1.343856 
19.625000	1.819121 
19.675000	1.781570 
19.725000	1.319238 
19.775000	0.741767 
19.825000	0.371166 
19.875000	0.338919 
19.925000	0.514375 
19.975000	0.605387 
