bin                 q                   Fx                  Icoh               
125                 6.275000            100.581515          0.116394            187.753290         
126                 6.325000            101.687407          -0.300807           115.925615         
127                 6.375000            102.806564          -0.847533           24.922413          
128                 6.425000            103.939587          -1.252514           -40.695806         
129                 6.475000            105.087117          -1.343727           -54.619428         
130                 6.525000            106.249848          -1.167320           -26.216259         
131                 6.575000            107.428524          -0.935875           9.907370           
132                 6.625000            108.623951          -0.862606           20.933126          
133                 6.675000            109.836998          -1.010877           -1.634236          
134                 6.725000            111.068612          -1.264429           -39.183504         
135                 6.775000            112.319822          -1.428300           -62.595169         
136                 6.825000            113.591749          -1.376166           -54.224217         
137                 6.875000            114.885624          -1.132910           -18.897972         
138                 6.925000            116.202798          -0.836455           22.938429          
139                 6.975000            117.544760          -0.616063           53.122676          
140                 7.025000            118.913161          -0.486220           70.131893          
141                 7.075000            120.309835          -0.341597           88.669285          
142                 7.125000            121.736832          -0.060525           124.834831         
143                 7.175000            123.196454          0.360483            178.377130         
144                 7.225000            124.691300          0.748086            226.167762         
145                 7.275000            126.224327          0.827524            233.335117         
146                 7.325000            127.798915          0.396066            175.913536         
147                 7.375000            129.418964          -0.515750           60.223696          
148                 7.425000            131.089011          -1.606763           -74.481534         
149                 7.475000            132.814382          -2.428857           -173.132931        
150                 7.525000            134.601405          -2.606585           -192.169496        
151                 7.575000            136.457691          -2.025409           -121.086900        
152                 7.625000            138.392530          -0.879821           14.011240          
153                 7.675000            140.417463          0.440740            165.849224         
154                 7.725000            142.547122          1.552577            290.145735         
155                 7.775000            144.800537          2.243609            364.087563         
156                 7.825000            147.203232          2.515755            389.732994         
157                 7.875000            149.790834          2.500875            383.290249         
158                 7.925000            152.615740          2.326780            359.757160         
159                 7.975000            155.760812          2.031425            323.816098         
160                 8.025000            159.372018          1.576890            271.923031         
161                 8.075000            163.757393          0.936721            201.905663         
162                 8.125000            169.877623          0.177027            121.236080         
163                 8.175000            -1.000000           -0.540053           46.811217          
164                 8.225000            -1.000000           -1.040025           -4.025311          
165                 8.275000            -1.000000           -1.246897           -24.538836         
166                 8.325000            -1.000000           -1.235320           -23.115043         
167                 8.375000            -1.000000           -1.175980           -17.085633         
168                 8.425000            -1.000000           -1.203029           -19.484615         
169                 8.475000            -1.000000           -1.294186           -27.909860         
170                 8.525000            -1.000000           -1.255793           -23.991650         
171                 8.575000            -1.000000           -0.840886           14.755361          
172                 8.625000            -1.000000           0.062109            97.390803          
173                 8.675000            -1.000000           1.289683            207.618354         
174                 8.725000            -1.000000           2.415414            306.274409         
175                 8.775000            -1.000000           2.931776            348.713532         
176                 8.825000            -1.000000           2.515429            308.394555         
177                 8.875000            -1.000000           1.230573            193.566063         
178                 8.925000            -1.000000           -0.451455           47.091799          
179                 8.975000            -1.000000           -1.842609           -71.567408         
180                 9.025000            -1.000000           -2.350595           -113.502919        
181                 9.075000            -1.000000           -1.757119           -62.961472         
182                 9.125000            -1.000000           -0.321232           55.859573          
183                 9.175000            -1.000000           1.342787            190.814194         
184                 9.225000            -1.000000           2.548954            286.099016         
185                 9.275000            -1.000000           2.842528            306.625052         
186                 9.325000            -1.000000           2.177910            251.040242         
187                 9.375000            -1.000000           0.896863            148.349226         
188                 9.425000            -1.000000           -0.465632           41.378432          
189                 9.475000            -1.000000           -1.440012           -33.737943         
190                 9.525000            -1.000000           -1.816585           -62.002941         
191                 9.575000            -1.000000           -1.691008           -51.962182         
192                 9.625000            -1.000000           -1.357189           -26.603075         
193                 9.675000            -1.000000           -1.119080           -8.784939          
194                 9.725000            -1.000000           -1.125562           -9.176135          
195                 9.775000            -1.000000           -1.310583           -22.486307         
196                 9.825000            -1.000000           -1.459466           -32.958558         
197                 9.875000            -1.000000           -1.355282           -25.252134         
198                 9.925000            -1.000000           -0.920431           5.604219           
199                 9.975000            -1.000000           -0.275877           50.543494          
200                 10.025000           -1.000000           0.312352            90.786234          
201                 10.075000           -1.000000           0.568867            107.574192         
202                 10.125000           -1.000000           0.353845            92.019175          
203                 10.175000           -1.000000           -0.258435           49.966702          
204                 10.225000           -1.000000           -1.005993           -0.400363          
205                 10.275000           -1.000000           -1.553677           -36.672174         
206                 10.325000           -1.000000           -1.635764           -41.754351         
207                 10.375000           -1.000000           -1.157829           -10.279069         
208                 10.425000           -1.000000           -0.216968           50.575415          
209                 10.475000           -1.000000           0.954766            125.222370         
210                 10.525000           -1.000000           2.082638            195.871169         
211                 10.575000           -1.000000           2.929062            247.645587         
212                 10.625000           -1.000000           3.334386            271.016601         
213                 10.675000           -1.000000           3.224017            262.031267         
214                 10.725000           -1.000000           2.606025            221.946089         
215                 10.775000           -1.000000           1.577120            157.389827         
216                 10.825000           -1.000000           0.331140            80.671599          
217                 10.875000           -1.000000           -0.855697           8.678760           
218                 10.925000           -1.000000           -1.685307           -40.905814         
219                 10.975000           -1.000000           -1.938214           -55.584032         
220                 11.025000           -1.000000           -1.572916           -33.691269         
221                 11.075000           -1.000000           -0.767319           13.582982          
222                 11.125000           -1.000000           0.134542            65.749463          
223                 11.175000           -1.000000           0.758969            101.203792         
224                 11.225000           -1.000000           0.861998            106.368644         
225                 11.275000           -1.000000           0.433396            81.306435          
226                 11.325000           -1.000000           -0.306965           39.036099          
227                 11.375000           -1.000000           -1.016395           -0.917065          
228                 11.425000           -1.000000           -1.383192           -21.287076         
229                 11.475000           -1.000000           -1.250680           -13.831026         
230                 11.525000           -1.000000           -0.659075           18.683319          
231                 11.575000           -1.000000           0.198265            65.228253          
232                 11.625000           -1.000000           1.065487            111.691151         
233                 11.675000           -1.000000           1.711526            145.662898         
234                 11.725000           -1.000000           1.983500            159.230132         
235                 11.775000           -1.000000           1.826253            149.864488         
236                 11.825000           -1.000000           1.284771            120.376925         
237                 11.875000           -1.000000           0.499394            78.496971          
238                 11.925000           -1.000000           -0.314902           35.641040          
239                 11.975000           -1.000000           -0.921602           4.053105           
240                 12.025000           -1.000000           -1.148177           -7.613194          
241                 12.075000           -1.000000           -0.972169           1.421149           
242                 12.125000           -1.000000           -0.555175           22.576299          
243                 12.175000           -1.000000           -0.186022           41.062743          
244                 12.225000           -1.000000           -0.143325           42.957922          
245                 12.275000           -1.000000           -0.543171           22.771612          
246                 12.325000           -1.000000           -1.260163           -12.891930         
247                 12.375000           -1.000000           -1.977247           -48.142629         
248                 12.425000           -1.000000           -2.345685           -65.908393         
249                 12.475000           -1.000000           -2.166788           -56.817199         
250                 12.525000           -1.000000           -1.489096           -23.680546         
251                 12.575000           -1.000000           -0.564695           20.956471          
