bin                 q                   two_theta           Fx                  Icoh               
125                 0.125500            1.763167            1.669997            530.621501         
126                 0.126500            1.777218            1.413382            480.469107         
127                 0.127500            1.791268            1.148768            428.758503         
128                 0.128500            1.805318            0.877511            375.754624         
129                 0.129500            1.819369            0.600974            321.724275         
130                 0.130500            1.833419            0.320527            266.934926         
131                 0.131500            1.847469            0.037534            211.653513         
132                 0.132500            1.861520            -0.246645           156.145268         
133                 0.133500            1.875570            -0.530669           100.672561         
134                 0.134500            1.889621            -0.813214           45.493780          
135                 0.135500            1.903671            -1.092984           -9.137771          
136                 0.136500            1.917722            -1.368711           -62.974924         
137                 0.137500            1.931772            -1.639168           -115.777668        
138                 0.138500            1.945823            -1.903165           -167.314123        
139                 0.139500            1.959873            -2.159560           -217.361464        
140                 0.140500            1.973924            -2.407262           -265.706799        
141                 0.141500            1.987975            -2.645236           -312.147990        
142                 0.142500            2.002026            -2.872502           -356.494413        
143                 0.143500            2.016076            -3.088145           -398.567662        
144                 0.144500            2.030127            -3.291317           -438.202192        
145                 0.145500            2.044178            -3.481235           -475.245893        
146                 0.146500            2.058229            -3.657190           -509.560600        
147                 0.147500            2.072280            -3.818545           -541.022538        
148                 0.148500            2.086330            -3.964741           -569.522688        
149                 0.149500            2.100381            -4.095293           -594.967099        
150                 0.150500            2.114432            -4.209796           -617.277114        
151                 0.151500            2.128483            -4.307923           -636.389534        
152                 0.152500            2.142534            -4.389428           -652.256709        
153                 0.153500            2.156585            -4.454144           -664.846562        
154                 0.154500            2.170637            -4.501983           -674.142536        
155                 0.155500            2.184688            -4.532936           -680.143477        
156                 0.156500            2.198739            -4.547074           -682.863455        
157                 0.157500            2.212790            -4.544542           -682.331505        
158                 0.158500            2.226841            -4.525561           -678.591320        
159                 0.159500            2.240893            -4.490426           -671.700869        
160                 0.160500            2.254944            -4.439502           -661.731963        
161                 0.161500            2.268995            -4.373224           -648.769762        
162                 0.162500            2.283046            -4.292091           -632.912226        
163                 0.163500            2.297098            -4.196665           -614.269516        
164                 0.164500            2.311149            -4.087569           -592.963347        
165                 0.165500            2.325201            -3.965479           -569.126297        
166                 0.166500            2.339252            -3.831126           -542.901071        
167                 0.167500            2.353304            -3.685287           -514.439734        
168                 0.168500            2.367355            -3.528784           -483.902902        
169                 0.169500            2.381407            -3.362478           -451.458912        
170                 0.170500            2.395459            -3.187267           -417.282958        
171                 0.171500            2.409510            -3.004079           -381.556213        
172                 0.172500            2.423562            -2.813867           -344.464928        
173                 0.173500            2.437614            -2.617607           -306.199520        
174                 0.174500            2.451666            -2.416292           -266.953647        
175                 0.175500            2.465717            -2.210927           -226.923290        
176                 0.176500            2.479769            -2.002524           -186.305817        
177                 0.177500            2.493821            -1.792096           -145.299064        
178                 0.178500            2.507873            -1.580658           -104.100421        
179                 0.179500            2.521925            -1.369215           -62.905923         
180                 0.180500            2.535977            -1.158762           -21.909365         
181                 0.181500            2.550029            -0.950277           18.698567          
182                 0.182500            2.564081            -0.744720           58.731142          
183                 0.183500            2.578133            -0.543026           98.006405          
184                 0.184500            2.592185            -0.346100           136.347961         
185                 0.185500            2.606238            -0.154817           173.585736         
186                 0.186500            2.620290            0.029984            209.556690         
187                 0.187500            2.634342            0.207506            244.105499         
188                 0.188500            2.648394            0.376991            277.085191         
189                 0.189500            2.662447            0.537729            308.357737         
190                 0.190500            2.676499            0.689059            337.794599         
191                 0.191500            2.690552            0.830369            365.277222         
192                 0.192500            2.704604            0.961102            390.697483         
193                 0.193500            2.718657            1.080757            413.958084         
194                 0.194500            2.732709            1.188888            434.972889         
195                 0.195500            2.746762            1.285109            453.667208         
196                 0.196500            2.760815            1.369095            469.978033         
197                 0.197500            2.774867            1.440579            483.854204         
198                 0.198500            2.788920            1.499358            495.256531         
199                 0.199500            2.802973            1.545289            504.157852         
200                 0.200500            2.817026            1.578293            510.543041         
201                 0.201500            2.831078            1.598351            514.408956         
202                 0.202500            2.845131            1.605503            515.764334         
203                 0.203500            2.859184            1.599854            514.629632         
204                 0.204500            2.873237            1.581565            511.036815         
205                 0.205500            2.887290            1.550855            505.029095         
206                 0.206500            2.901343            1.508000            496.660619         
207                 0.207500            2.915396            1.453330            485.996107         
208                 0.208500            2.929450            1.387228            473.110447         
209                 0.209500            2.943503            1.310126            458.088252         
210                 0.210500            2.957556            1.222506            441.023362         
211                 0.211500            2.971609            1.124891            422.018326         
212                 0.212500            2.985663            1.017849            401.183832         
213                 0.213500            2.999716            0.901987            378.638116         
214                 0.214500            3.013769            0.777946            354.506335         
215                 0.215500            3.027823            0.646401            328.919916         
216                 0.216500            3.041876            0.508056            302.015885         
217                 0.217500            3.055930            0.363638            273.936168         
218                 0.218500            3.069984            0.213899            244.826884         
219                 0.219500            3.084037            0.059608            214.837620         
220                 0.220500            3.098091            -0.098453           184.120696         
221                 0.221500            3.112145            -0.259490           152.830431         
