type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
0.111500            37.560975           -31.257260          -31.257260          37.560975           
0.112500            37.240485           -30.952745          -30.952745          37.240485           
0.113500            36.739529           -30.497599          -30.497599          36.739529           
0.114500            36.063618           -29.896613          -29.896613          36.063618           
0.115500            35.218964           -29.155164          -29.155164          35.218964           
0.116500            34.212447           -28.279183          -28.279183          34.212447           
0.117500            33.051567           -27.275116          -27.275116          33.051567           
0.118500            31.744407           -26.149893          -26.149893          31.744407           
0.119500            30.299585           -24.910887          -24.910887          30.299585           
0.120500            28.726212           -23.565872          -23.565872          28.726212           
0.121500            27.033838           -22.122990          -22.122990          27.033838           
0.122500            25.232408           -20.590701          -20.590701          25.232408           
0.123500            23.332211           -18.977744          -18.977744          23.332211           
0.124500            21.343827           -17.293094          -17.293094          21.343827           
0.125500            19.278079           -15.545919          -15.545919          19.278079           
0.126500            17.145977           -13.745533          -13.745533          17.145977           
0.127500            14.958668           -11.901355          -11.901355          14.958668           
0.128500            12.727387           -10.022864          -10.022864          12.727387           
0.129500            10.463399           -8.119555           -8.119555           10.463399           
0.130500            8.177953            -6.200895           -6.200895           8.177953            
0.131500            5.882229            -4.276284           -4.276284           5.882229            
0.132500            3.587292            -2.355011           -2.355011           3.587292            
0.133500            1.304039            -0.446211           -0.446211           1.304039            
0.134500            -0.956845           1.441170            1.441170            -0.956845           
0.135500            -3.184933           3.298414            3.298414            -3.184933           
0.136500            -5.370101           5.117071            5.117071            -5.370101           
0.137500            -7.502566           6.888990            6.888990            -7.502566           
0.138500            -9.572930           8.606352            8.606352            -9.572930           
0.139500            -11.572217          10.261705           10.261705           -11.572217          
0.140500            -13.491905          11.847991           11.847991           -13.491905          
0.141500            -15.323962          13.358572           13.358572           -15.323962          
0.142500            -17.060874          14.787256           14.787256           -17.060874          
0.143500            -18.695676          16.128320           16.128320           -18.695676          
0.144500            -20.221971          17.376531           17.376531           -20.221971          
0.145500            -21.633958          18.527160           18.527160           -21.633958          
0.146500            -22.926447          19.576003           19.576003           -22.926447          
0.147500            -24.094875          20.519386           20.519386           -24.094875          
0.148500            -25.135321          21.354185           21.354185           -25.135321          
0.149500            -26.044515          22.077824           22.077824           -26.044515          
0.150500            -26.819845          22.688286           22.688286           -26.819845          
0.151500            -27.459358          23.184114           23.184114           -27.459358          
0.152500            -27.961766          23.564410           23.564410           -27.961766          
0.153500            -28.326441          23.828833           23.828833           -28.326441          
0.154500            -28.553408          23.977593           23.977593           -28.553408          
0.155500            -28.643339          24.011445           24.011445           -28.643339          
0.156500            -28.597543          23.931676           23.931676           -28.597543          
0.157500            -28.417950          23.740095           23.740095           -28.417950          
0.158500            -28.107097          23.439020           23.439020           -28.107097          
0.159500            -27.668105          23.031256           23.031256           -27.668105          
0.160500            -27.104664          22.520081           22.520081           -27.104664          
0.161500            -26.421001          21.909223           21.909223           -26.421001          
0.162500            -25.621864          21.202838           21.202838           -25.621864          
0.163500            -24.712484          20.405486           20.405486           -24.712484          
0.164500            -23.698552          19.522102           19.522102           -23.698552          
0.165500            -22.586183          18.557976           18.557976           -22.586183          
0.166500            -21.381887          17.518715           17.518715           -21.381887          
0.167500            -20.092531          16.410219           16.410219           -20.092531          
0.168500            -18.725303          15.238650           15.238650           -18.725303          
0.169500            -17.287676          14.010400           14.010400           -17.287676          
0.170500            -15.787370          12.732053           12.732053           -15.787370          
0.171500            -14.232315          11.410362           11.410362           -14.232315          
0.172500            -12.630606          10.052206           10.052206           -12.630606          
0.173500            -10.990469          8.664564            8.664564            -10.990469          
0.174500            -9.320220           7.254474            7.254474            -9.320220           
0.175500            -7.628223           5.829007            5.829007            -7.628223           
0.176500            -5.922853           4.395225            4.395225            -5.922853           
0.177500            -4.212455           2.960157            2.960157            -4.212455           
0.178500            -2.505306           1.530757            1.530757            -2.505306           
0.179500            -0.809577           0.113881            0.113881            -0.809577           
0.180500            0.866706            -1.283751           -1.283751           0.866706            
0.181500            2.515693            -2.655583           -2.655583           2.515693            
0.182500            4.129752            -3.995250           -3.995250           4.129752            
0.183500            5.701496            -5.296609           -5.296609           5.701496            
0.184500            7.223819            -6.553765           -6.553765           7.223819            
