bin                 q                   two_theta           Fx                  Icoh               
0                   0.005000            0.070243            103.214453          20424.609133       
1                   0.015000            0.210729            94.846299           18784.625500       
2                   0.025000            0.351215            79.329613           15743.904433       
3                   0.035000            0.491702            58.890410           11739.049510       
4                   0.045000            0.632190            36.375363           7328.257881        
5                   0.055000            0.772678            14.766788           3096.094670        
6                   0.065000            0.913168            -3.310537           -443.274363        
7                   0.075000            1.053659            -15.999842          -2926.534659       
8                   0.085000            1.194152            -22.467330          -4191.073711       
9                   0.095000            1.334646            -22.960752          -4286.247710       
10                  0.105000            1.475142            -18.669899          -3445.787892       
11                  0.115000            1.615641            -11.425584          -2028.593681       
12                  0.125000            1.756142            -3.303440           -440.982788        
13                  0.135000            1.896646            3.785738            943.537843         
14                  0.145000            2.037152            8.438933            1851.266603        
15                  0.155000            2.177662            9.974569            2149.855454        
16                  0.165000            2.318175            8.483831            1858.013207        
17                  0.175000            2.458691            4.721321            1123.796640        
18                  0.185000            2.599212            -0.130569           178.312871         
19                  0.195000            2.739736            -4.765356           -723.705660        
20                  0.205000            2.880264            -8.055527           -1362.997302       
21                  0.215000            3.020796            -9.290792           -1602.025371       
22                  0.225000            3.161333            -8.305169           -1409.416298       
23                  0.235000            3.301875            -5.473269           -858.860625        
24                  0.245000            3.442422            -1.585586           -104.511329        
25                  0.255000            3.582974            2.361649            660.093265         
26                  0.265000            3.723531            5.409924            1249.368706        
27                  0.275000            3.864094            6.858704            1528.296596        
28                  0.285000            4.004663            6.414357            1441.004631        
29                  0.295000            4.145237            4.238059            1019.661259        
30                  0.305000            4.285818            0.887216            372.748256         
31                  0.315000            4.426406            -2.830922           -343.541705        
32                  0.325000            4.567000            -6.055913           -963.425336        
33                  0.335000            4.707601            -8.073968           -1350.028369       
34                  0.345000            4.848209            -8.475406           -1425.486977       
35                  0.355000            4.988824            -7.235813           -1186.196477       
36                  0.365000            5.129447            -4.705820           -700.425420        
37                  0.375000            5.270078            -1.515805           -89.645962         
38                  0.385000            5.410716            1.579125            501.430568         
39                  0.395000            5.551363            3.876055            938.782518         
40                  0.405000            5.692018            4.881881            1129.069897        
41                  0.415000            5.832682            4.416602            1039.040064        
42                  0.425000            5.973354            2.641087            700.407978         
43                  0.435000            6.114036            0.006240            199.759688         
44                  0.445000            6.254727            -2.861473           -343.536526        
45                  0.455000            6.395427            -5.309301           -805.825838        
46                  0.465000            6.536137            -6.806732           -1087.276558       
47                  0.475000            6.676856            -7.059450           -1133.213266       
48                  0.485000            6.817586            -6.064292           -944.132539        
49                  0.495000            6.958326            -4.095374           -572.668964        
50                  0.505000            7.099077            -1.627809           -108.858068        
51                  0.515000            7.239838            0.780512            342.330097         
52                  0.525000            7.380610            2.619866            685.624778         
53                  0.535000            7.521394            3.541561            856.466658         
