bin                 q                   two_theta           Fx                  Icoh               
0                   0.005000            0.070243            103.197607          20421.308981       
1                   0.015000            0.210729            94.681677           18752.377127       
2                   0.025000            0.351215            78.902362           15660.215009       
3                   0.035000            0.491702            58.145393           11593.131898       
4                   0.045000            0.632190            35.332794           7124.091192        
5                   0.055000            0.772678            13.523734           2852.709945        
6                   0.065000            0.913168            -4.593216           -694.364395        
7                   0.075000            1.053659            -17.122919          -3146.327518       
8                   0.085000            1.194152            -23.226593          -4339.624068       
9                   0.095000            1.334646            -23.182556          -4329.629947       
10                  0.105000            1.475142            -18.242730          -3362.268114       
11                  0.115000            1.615641            -10.322233          -1812.950864       
12                  0.125000            1.756142            -1.590012           -106.245554        
13                  0.135000            1.896646            5.955485            1367.227854        
14                  0.145000            2.037152            10.842957           2320.473285        
15                  0.155000            2.177662            12.352500           2613.724831        
16                  0.165000            2.318175            10.572728           2265.271045        
17                  0.175000            2.458691            6.291712            1429.782481        
18                  0.185000            2.599212            0.756254            350.998638         
19                  0.195000            2.739736            -4.641315           -699.568027        
20                  0.205000            2.880264            -8.678489           -1484.137722       
21                  0.215000            3.020796            -10.553998          -1847.486657       
22                  0.225000            3.161333            -10.026987          -1743.736711       
23                  0.235000            3.301875            -7.422689           -1237.071111       
24                  0.245000            3.442422            -3.513261           -478.191108        
25                  0.255000            3.582974            0.691199            336.557386         
26                  0.265000            3.723531            4.189200            1013.149648        
27                  0.275000            3.864094            6.214840            1403.820442        
28                  0.285000            4.004663            6.396006            1437.460179        
29                  0.295000            4.145237            4.812829            1130.561317        
30                  0.305000            4.285818            1.949563            577.513252         
31                  0.315000            4.426406            -1.442715           -76.252594         
32                  0.325000            4.567000            -4.536070           -671.111516        
33                  0.335000            4.707601            -6.622024           -1071.088946       
34                  0.345000            4.848209            -7.268997           -1193.987281       
35                  0.355000            4.988824            -6.406927           -1027.329904       
36                  0.365000            5.129447            -4.323569           -627.251886        
37                  0.375000            5.270078            -1.577965           -101.530161        
38                  0.385000            5.410716            1.144650            418.470891         
39                  0.395000            5.551363            3.199944            809.854202         
40                  0.405000            5.692018            4.133723            986.594993         
41                  0.415000            5.832682            3.779443            917.870358         
42                  0.425000            5.973354            2.283698            632.538303         
43                  0.435000            6.114036            0.057032            209.391338         
44                  0.445000            6.254727            -2.335066           -243.859476        
45                  0.455000            6.395427            -4.312820           -617.420817        
46                  0.465000            6.536137            -5.420127           -825.510579        
47                  0.475000            6.676856            -5.427506           -825.610449        
48                  0.485000            6.817586            -4.377255           -626.648541        
49                  0.495000            6.958326            -2.562502           -284.661994        
50                  0.505000            7.099077            -0.447690           112.507856         
51                  0.515000            7.239838            1.448487            467.419577         
52                  0.525000            7.380610            2.678615            696.607826         
53                  0.535000            7.521394            2.970561            749.902310         
54                  0.545000            7.662188            2.286115            621.086233         
55                  0.555000            7.802995            0.821982            347.706370         
56                  0.565000            7.943813            -1.045087           0.493550           
57                  0.575000            8.084643            -2.854133           -334.708700        
58                  0.585000            8.225485            -4.172657           -577.944963        
59                  0.595000            8.366340            -4.698855           -673.989715        
60                  0.605000            8.507208            -4.329467           -604.637086        
61                  0.615000            8.648088            -3.178246           -391.755055        
62                  0.625000            8.788982            -1.542203           -90.704480         
63                  0.635000            8.929888            0.174705            223.978141         
64                  0.645000            9.070809            1.561014            476.966116         
65                  0.655000            9.211743            2.295962            610.089071         
66                  0.665000            9.352691            2.223164            595.591292         
67                  0.675000            9.493653            1.382961            441.709719         
68                  0.685000            9.634630            -0.003023           189.504297         
69                  0.695000            9.775621            -1.590026           -98.012428         
70                  0.705000            9.916627            -2.995906           -351.603939        
71                  0.715000            10.057648           -3.893287           -512.492712        
72                  0.725000            10.198685           -4.085940           -545.994895        
73                  0.735000            10.339736           -3.551667           -448.960411        
74                  0.745000            10.480804           -2.442406           -249.449425        
75                  0.755000            10.621888           -1.042757           1.023650           
76                  0.765000            10.762987           0.302001            240.586671         
77                  0.775000            10.904103           1.270338            412.148300         
78                  0.785000            11.045236           1.640831            476.897768         
79                  0.795000            11.186385           1.342387            422.992694         
80                  0.805000            11.327552           0.467054            267.510792         
81                  0.815000            11.468736           -0.756676           51.411172          
82                  0.825000            11.609937           -2.022574           -171.069666        
83                  0.835000            11.751156           -3.022506           -345.874365        
84                  0.845000            11.892393           -3.520710           -432.120875        
85                  0.855000            12.033647           -3.408741           -411.535785        
86                  0.865000            12.174921           -2.728375           -292.169053        
87                  0.875000            12.316213           -1.657757           -105.669304        
88                  0.885000            12.457523           -0.465059           101.035500         
89                  0.895000            12.598853           0.558436            277.489543         
90                  0.905000            12.740202           1.169193            381.968972         
91                  0.915000            12.881570           1.229103            391.287899         
92                  0.925000            13.022958           0.736357            305.861884         
93                  0.935000            13.164366           -0.177265           148.944074         
94                  0.945000            13.305795           -1.281292           -39.619931         
95                  0.955000            13.447243           -2.304507           -213.464022        
96                  0.965000            13.588712           -3.001436           -331.070612        
97                  0.975000            13.730202           -3.211170           -365.663302        
98                  0.985000            13.871713           -2.894476           -311.279107        
99                  0.995000            14.013245           -2.140698           -183.657678        
100                 1.005000            14.154799           -1.143426           -15.868338         
101                 1.015000            14.296374           -0.151433           150.135287         
102                 1.025000            14.437972           0.592762            273.893064         
103                 1.035000            14.579591           0.911608            326.197529         
104                 1.045000            14.721233           0.734404            295.896323         
105                 1.055000            14.862898           0.112521            192.169915         
106                 1.065000            15.004585           -0.795181           41.844860          
107                 1.075000            15.146295           -1.762691           -117.490930        
108                 1.085000            15.288029           -2.552715           -246.812029        
109                 1.095000            15.429786           -2.974306           -315.114334        
110                 1.105000            15.571567           -2.928318           -306.726940        
111                 1.115000            15.713372           -2.429926           -224.765468        
112                 1.125000            15.855202           -1.603170           -89.983887         
113                 1.135000            15.997055           -0.649337           64.593824          
114                 1.145000            16.138934           0.202759            201.874433         
115                 1.155000            16.280837           0.752292            289.691625         
116                 1.165000            16.422766           0.874271            308.416004         
117                 1.175000            16.564719           0.548299            255.380382         
118                 1.185000            16.706699           -0.138342           145.128330         
119                 1.195000            16.848704           -1.013607           5.520383           
120                 1.205000            16.990735           -1.863637           -129.272856        
121                 1.215000            17.132793           -2.485056           -227.136368        
122                 1.225000            17.274877           -2.733872           -265.693377        
123                 1.235000            17.416988           -2.559233           -237.472636        
124                 1.245000            17.559126           -2.014158           -151.372677        
125                 1.255000            17.701291           -1.241009           -30.150979         
126                 1.265000            17.843484           -0.435612           95.373202          
127                 1.275000            17.985704           0.201014            193.939058         
128                 1.285000            18.127952           0.511498            241.417554         
129                 1.295000            18.270228           0.419744            226.518526         
130                 1.305000            18.412533           -0.051542           153.297968         
131                 1.315000            18.554867           -0.787376           39.926948          
132                 1.325000            18.697229           -1.609176           -85.909200         
133                 1.335000            18.839621           -2.318393           -193.812994        
134                 1.345000            18.982042           -2.744434           -258.006484        
135                 1.355000            19.124492           -2.785322           -263.427911        
136                 1.365000            19.266972           -2.431433           -209.159632        
137                 1.375000            19.409483           -1.766870           -108.420126        
138                 1.385000            19.552023           -0.948432           14.811461          
139                 1.395000            19.694595           -0.167510           131.667981         
140                 1.405000            19.837197           0.395757            215.316669         
141                 1.415000            19.979830           0.615040            247.263601         
142                 1.425000            20.122494           0.446978            221.554354         
143                 1.435000            20.265190           -0.059796           145.916533         
144                 1.445000            20.407917           -0.777614           39.636894          
145                 1.455000            20.550677           -1.531311           -71.254074         
146                 1.465000            20.693469           -2.140545           -160.290282        
147                 1.475000            20.836293           -2.462678           -206.842876        
148                 1.485000            20.979151           -2.426017           -200.871594        
149                 1.495000            21.122041           -2.045667           -145.062040        
150                 1.505000            21.264964           -1.418513           -53.900211         
151                 1.515000            21.407921           -0.698842           50.028539          
152                 1.525000            21.550911           -0.060727           141.577704         
153                 1.535000            21.693936           0.343706            199.062435         
154                 1.545000            21.836994           0.420127            209.329919         
155                 1.555000            21.980088           0.153578            170.697885         
156                 1.565000            22.123215           -0.389148           93.112556          
157                 1.575000            22.266378           -1.076567           -4.450470          
158                 1.585000            22.409576           -1.744668           -98.667648         
159                 1.595000            22.552810           -2.236322           -167.479333        
160                 1.605000            22.696079           -2.438482           -195.285790        
161                 1.615000            22.839384           -2.308405           -176.508775        
162                 1.625000            22.982726           -1.882840           -116.712205        
163                 1.635000            23.126103           -1.268260           -31.068284         
164                 1.645000            23.269518           -0.614717           59.414637          
165                 1.655000            23.412969           -0.079727           132.968216         
166                 1.665000            23.556458           0.209159            172.223018         
167                 1.675000            23.699984           0.184243            168.234815         
168                 1.685000            23.843548           -0.146921           122.453724         
169                 1.695000            23.987150           -0.704055           46.212529          
170                 1.705000            24.130790           -1.353811           -42.100145         
171                 1.715000            24.274469           -1.941732           -121.478077        
172                 1.725000            24.418186           -2.328892           -173.280588        
173                 1.735000            24.561943           -2.424570           -185.586953        
174                 1.745000            24.705738           -2.207366           -155.916067        
175                 1.755000            24.849574           -1.729906           -91.702610         
176                 1.765000            24.993449           -1.106185           -8.450977          
177                 1.775000            25.137364           -0.484594           73.974042          
178                 1.785000            25.281319           -0.012976           136.039079         
179                 1.795000            25.425315           0.196178            163.123827         
180                 1.805000            25.569352           0.092376            148.941308         
181                 1.815000            25.713430           -0.300484           97.025204          
182                 1.825000            25.857549           -0.888760           19.961738          
183                 1.835000            26.001710           -1.529717           -63.443162         
184                 1.845000            26.145912           -2.063483           -132.409808        
185                 1.855000            26.290157           -2.349182           -168.885269        
186                 1.865000            26.434445           -2.297174           -161.651393        
187                 1.875000            26.578774           -1.890281           -108.937050        
188                 1.885000            26.723147           -1.189317           -18.970041         
189                 1.895000            26.867564           -0.321685           91.641203          
190                 1.905000            27.012023           0.544519            201.336937         
191                 1.915000            27.156527           1.235373            288.104937         
192                 1.925000            27.301074           1.607588            334.090703         
193                 1.935000            27.445666           1.578884            329.350930         
194                 1.945000            27.590302           1.145939            273.974385         
195                 1.955000            27.734983           0.386207            178.142607         
196                 1.965000            27.879709           -0.556793           60.130319          
197                 1.975000            28.024481           -1.501735           -57.337365         
198                 1.985000            28.169298           -2.265624           -151.630528        
199                 1.995000            28.314161           -2.700605           -204.753753        
200                 2.005000            28.459071           -2.724188           -206.983410        
201                 2.015000            28.604026           -2.336900           -158.893179        
202                 2.025000            28.749029           -1.623857           -71.374644         
203                 2.035000            28.894079           -0.739784           36.357364          
204                 2.045000            29.039176           0.119883            140.409127         
205                 2.055000            29.184320           0.756640            216.835277         
206                 2.065000            29.329513           1.008477            246.406424         
207                 2.075000            29.474753           0.784196            218.650434         
208                 2.085000            29.620042           0.086156            134.426898         
209                 2.095000            29.765380           -0.982960           6.545038           
210                 2.105000            29.910767           -2.231055           -141.734222        
211                 2.115000            30.056203           -3.403990           -280.116339        
212                 2.125000            30.201689           -4.225408           -376.092894        
213                 2.135000            30.347224           -4.442839           -400.403820        
214                 2.145000            30.492810           -3.872705           -332.260929        
215                 2.155000            30.638446           -2.436791           -163.467013        
216                 2.165000            30.784133           -0.183816           99.283310          
217                 2.175000            30.929871           2.708087            434.367215         
218                 2.185000            31.075660           5.949323            807.562244         
219                 2.195000            31.221500           9.175326            1176.467042        
220                 2.205000            31.367393           11.996664           1496.397150        
221                 2.215000            31.513338           14.055399           1726.878690        
222                 2.225000            31.659335           15.079016           1837.732520        
223                 2.235000            31.805385           14.923216           1813.768833        
224                 2.245000            31.951488           13.596336           1657.301485        
225                 2.255000            32.097644           11.260825           1388.020032        
226                 2.265000            32.243854           8.210884            1040.177836        
227                 2.275000            32.390118           4.829268            657.499433         
