bin                 q                   two_theta           Fx                  Icoh               
0                   0.000500            0.007024            26.539030           5403.936940        
1                   0.001500            0.021073            26.533241           5402.801036        
2                   0.002500            0.035121            26.521666           5400.529650        
3                   0.003500            0.049170            26.504309           5397.123625        
4                   0.004500            0.063219            26.481176           5392.584227        
5                   0.005500            0.077267            26.452276           5386.913141        
6                   0.006500            0.091316            26.417619           5380.112474        
7                   0.007500            0.105364            26.377218           5372.184751        
8                   0.008500            0.119413            26.331089           5363.132915        
9                   0.009500            0.133462            26.279248           5352.960326        
10                  0.010500            0.147510            26.221714           5341.670760        
11                  0.011500            0.161559            26.158509           5329.268405        
12                  0.012500            0.175607            26.089657           5315.757863        
13                  0.013500            0.189656            26.015181           5301.144143        
14                  0.014500            0.203705            25.935111           5285.432665        
15                  0.015500            0.217753            25.849475           5268.629252        
16                  0.016500            0.231802            25.758305           5250.740130        
17                  0.017500            0.245850            25.661635           5231.771924        
18                  0.018500            0.259899            25.559501           5211.731658        
19                  0.019500            0.273948            25.451940           5190.626750        
20                  0.020500            0.287996            25.338991           5168.465006        
21                  0.021500            0.302045            25.220697           5145.254622        
22                  0.022500            0.316094            25.097100           5121.004176        
23                  0.023500            0.330142            24.968247           5095.722628        
24                  0.024500            0.344191            24.834185           5069.419313        
25                  0.025500            0.358240            24.694963           5042.103936        
26                  0.026500            0.372288            24.550631           5013.786573        
27                  0.027500            0.386337            24.401244           4984.477660        
28                  0.028500            0.400386            24.246856           4954.187996        
29                  0.029500            0.414434            24.087524           4922.928730        
30                  0.030500            0.428483            23.923306           4890.711362        
31                  0.031500            0.442532            23.754261           4857.547737        
32                  0.032500            0.456580            23.580453           4823.450036        
33                  0.033500            0.470629            23.401944           4788.430776        
34                  0.034500            0.484678            23.218800           4752.502803        
35                  0.035500            0.498726            23.031088           4715.679283        
36                  0.036500            0.512775            22.838876           4677.973702        
37                  0.037500            0.526824            22.642234           4639.399853        
38                  0.038500            0.540873            22.441233           4599.971838        
39                  0.039500            0.554921            22.235948           4559.704056        
40                  0.040500            0.568970            22.026452           4518.611199        
41                  0.041500            0.583019            21.812822           4476.708244        
42                  0.042500            0.597068            21.595135           4434.010449        
43                  0.043500            0.611116            21.373470           4390.533346        
44                  0.044500            0.625165            21.147907           4346.292732        
45                  0.045500            0.639214            20.918528           4301.304664        
46                  0.046500            0.653263            20.685416           4255.585450        
47                  0.047500            0.667312            20.448655           4209.151647        
48                  0.048500            0.681361            20.208330           4162.020047        
49                  0.049500            0.695409            19.964527           4114.207674        
50                  0.050500            0.709458            19.717335           4065.731778        
51                  0.051500            0.723507            19.466841           4016.609822        
52                  0.052500            0.737556            19.213137           3966.859480        
53                  0.053500            0.751605            18.956312           3916.498626        
54                  0.054500            0.765654            18.696459           3865.545328        
55                  0.055500            0.779703            18.433670           3814.017839        
56                  0.056500            0.793752            18.168039           3761.934592        
57                  0.057500            0.807800            17.899661           3709.314186        
58                  0.058500            0.821849            17.628631           3656.175386        
59                  0.059500            0.835898            17.355044           3602.537109        
60                  0.060500            0.849947            17.078999           3548.418417        
61                  0.061500            0.863996            16.800593           3493.838510        
62                  0.062500            0.878045            16.519923           3438.816720        
63                  0.063500            0.892094            16.237089           3383.372496        
64                  0.064500            0.906143            15.952191           3327.525402        
65                  0.065500            0.920192            15.665328           3271.295108        
66                  0.066500            0.934241            15.376601           3214.701377        
67                  0.067500            0.948290            15.086111           3157.764061        
68                  0.068500            0.962340            14.793959           3100.503093        
69                  0.069500            0.976389            14.500247           3042.938475        
70                  0.070500            0.990438            14.205077           2985.090270        
71                  0.071500            1.004487            13.908552           2926.978598        
72                  0.072500            1.018536            13.610774           2868.623623        
73                  0.073500            1.032585            13.311846           2810.045545        
74                  0.074500            1.046634            13.011871           2751.264594        
75                  0.075500            1.060683            12.710952           2692.301017        
76                  0.076500            1.074733            12.409192           2633.175076        
77                  0.077500            1.088782            12.106694           2573.907033        
78                  0.078500            1.102831            11.803561           2514.517146        
79                  0.079500            1.116880            11.499897           2455.025656        
80                  0.080500            1.130930            11.195805           2395.452786        
81                  0.081500            1.144979            10.891387           2335.818723        
82                  0.082500            1.159028            10.586745           2276.143619        
83                  0.083500            1.173078            10.281983           2216.447574        
84                  0.084500            1.187127            9.977202            2156.750634        
85                  0.085500            1.201176            9.672505            2097.072780        
86                  0.086500            1.215226            9.367992            2037.433922        
87                  0.087500            1.229275            9.063765            1977.853885        
88                  0.088500            1.243324            8.759924            1918.352409        
89                  0.089500            1.257374            8.456570            1858.949135        
90                  0.090500            1.271423            8.153802            1799.663598        
91                  0.091500            1.285473            7.851718            1740.515220        
92                  0.092500            1.299522            7.550419            1681.523303        
93                  0.093500            1.313572            7.250000            1622.707019        
94                  0.094500            1.327621            6.950560            1564.085403        
95                  0.095500            1.341671            6.652194            1505.677346        
96                  0.096500            1.355720            6.354999            1447.501586        
97                  0.097500            1.369770            6.059069            1389.576702        
98                  0.098500            1.383819            5.764498            1331.921105        
99                  0.099500            1.397869            5.471379            1274.553033        
100                 0.100500            1.411919            5.179805            1217.490540        
101                 0.101500            1.425968            4.889866            1160.751492        
102                 0.102500            1.440018            4.601653            1104.353560        
103                 0.103500            1.454068            4.315255            1048.314210        
104                 0.104500            1.468118            4.030760            992.650699         
105                 0.105500            1.482167            3.748255            937.380067         
106                 0.106500            1.496217            3.467826            882.519131         
107                 0.107500            1.510267            3.189559            828.084477         
108                 0.108500            1.524317            2.913536            774.092456         
109                 0.109500            1.538367            2.639840            720.559176         
110                 0.110500            1.552416            2.368551            667.500495         
111                 0.111500            1.566466            2.099751            614.932017         
112                 0.112500            1.580516            1.833517            562.869086         
113                 0.113500            1.594566            1.569927            511.326778         
114                 0.114500            1.608616            1.309056            460.319896         
115                 0.115500            1.622666            1.050978            409.862968         
116                 0.116500            1.636716            0.795768            359.970236         
117                 0.117500            1.650766            0.543495            310.655654         
118                 0.118500            1.664816            0.294230            261.932885         
119                 0.119500            1.678866            0.048042            213.815290         
120                 0.120500            1.692916            -0.195002           166.315927         
121                 0.121500            1.706966            -0.434837           119.447549         
122                 0.122500            1.721017            -0.671400           73.222594          
123                 0.123500            1.735067            -0.904627           27.653183          
124                 0.124500            1.749117            -1.134459           -17.248884         
125                 0.125500            1.763167            -1.360836           -61.472132         
126                 0.126500            1.777218            -1.583702           -105.005414        
127                 0.127500            1.791268            -1.803000           -147.837917        
128                 0.128500            1.805318            -2.018676           -189.959165        
129                 0.129500            1.819369            -2.230680           -231.359021        
130                 0.130500            1.833419            -2.438959           -272.027691        
131                 0.131500            1.847469            -2.643466           -311.955727        
132                 0.132500            1.861520            -2.844153           -351.134032        
133                 0.133500            1.875570            -3.040975           -389.553859        
134                 0.134500            1.889621            -3.233890           -427.206815        
135                 0.135500            1.903671            -3.422855           -464.084866        
136                 0.136500            1.917722            -3.607832           -500.180335        
137                 0.137500            1.931772            -3.788781           -535.485909        
138                 0.138500            1.945823            -3.965667           -569.994635        
139                 0.139500            1.959873            -4.138457           -603.699927        
140                 0.140500            1.973924            -4.307117           -636.595566        
141                 0.141500            1.987975            -4.471617           -668.675698        
142                 0.142500            2.002026            -4.631929           -699.934841        
143                 0.143500            2.016076            -4.788025           -730.367882        
144                 0.144500            2.030127            -4.939882           -759.970079        
145                 0.145500            2.044178            -5.087477           -788.737063        
146                 0.146500            2.058229            -5.230788           -816.664835        
147                 0.147500            2.072280            -5.369796           -843.749772        
148                 0.148500            2.086330            -5.504484           -869.988620        
149                 0.149500            2.100381            -5.634837           -895.378501        
150                 0.150500            2.114432            -5.760842           -919.916908        
151                 0.151500            2.128483            -5.882487           -943.601708        
152                 0.152500            2.142534            -5.999761           -966.431139        
153                 0.153500            2.156585            -6.112659           -988.403810        
154                 0.154500            2.170637            -6.221173           -1009.518701       
155                 0.155500            2.184688            -6.325300           -1029.775162       
156                 0.156500            2.198739            -6.425038           -1049.172910       
157                 0.157500            2.212790            -6.520387           -1067.712030       
158                 0.158500            2.226841            -6.611348           -1085.392972       
159                 0.159500            2.240893            -6.697925           -1102.216550       
160                 0.160500            2.254944            -6.780123           -1118.183942       
161                 0.161500            2.268995            -6.857949           -1133.296682       
162                 0.162500            2.283046            -6.931413           -1147.556664       
163                 0.163500            2.297098            -7.000526           -1160.966140       
164                 0.164500            2.311149            -7.065299           -1173.527710       
165                 0.165500            2.325201            -7.125748           -1185.244329       
166                 0.166500            2.339252            -7.181889           -1196.119298       
