bin                 q                   two_theta           Fx                  Icoh               
0                   0.005000            0.070243            -50.647808          -9716.968646       
1                   0.015000            0.210729            -40.511454          -7730.985559       
2                   0.025000            0.351215            -23.818927          -4460.723253       
3                   0.035000            0.491702            -6.248493           -1018.936199       
4                   0.045000            0.632190            6.725497            1521.911280        
5                   0.055000            0.772678            11.939302           2542.484737        
6                   0.065000            0.913168            9.552778            2074.774901        
7                   0.075000            1.053659            2.593277            712.248094         
8                   0.085000            1.194152            -4.669977           -709.010974        
9                   0.095000            1.334646            -8.713892           -1499.726569       
10                  0.105000            1.475142            -8.194794           -1397.701031       
11                  0.115000            1.615641            -4.230354           -622.331637        
12                  0.125000            1.756142            0.488365            299.788245         
13                  0.135000            1.896646            3.225640            834.166631         
14                  0.145000            2.037152            2.582963            708.324775         
15                  0.155000            2.177662            -0.917256           25.158182          
16                  0.165000            2.318175            -5.257844           -821.106503        
17                  0.175000            2.458691            -8.065323           -1367.641343       
18                  0.185000            2.599212            -7.837789           -1322.468291       
19                  0.195000            2.739736            -4.644975           -700.280161        
20                  0.205000            2.880264            0.006177            204.671012         
21                  0.215000            3.020796            4.007647            982.076341         
22                  0.225000            3.161333            5.715732            1312.982985        
23                  0.235000            3.301875            4.696718            1114.236954        
24                  0.245000            3.442422            1.809465            553.619460         
25                  0.255000            3.582974            -1.355647           -59.879752         
26                  0.265000            3.723531            -3.338641           -443.543802        
27                  0.275000            3.864094            -3.508246           -475.912610        
28                  0.285000            4.004663            -2.258863           -234.140316        
29                  0.295000            4.145237            -0.658439           74.897167          
30                  0.305000            4.285818            0.211070            242.422515         
31                  0.315000            4.426406            -0.158456           171.021913         
32                  0.325000            4.567000            -1.489682           -85.195265         
33                  0.335000            4.707601            -2.959117           -367.391534        
34                  0.345000            4.848209            -3.712230           -511.473812        
35                  0.355000            4.988824            -3.345654           -440.597761        
36                  0.365000            5.129447            -2.093590           -200.370713        
37                  0.375000            5.270078            -0.641972           77.420651          
38                  0.385000            5.410716            0.292232            255.707991         
39                  0.395000            5.551363            0.358677            268.049868         
40                  0.405000            5.692018            -0.275977           146.836883         
41                  0.415000            5.832682            -1.090677           -8.290251          
