bin                 q                   S                  
219                 2.195000            878.544154         
220                 2.205000            1689.313225        
221                 2.215000            2350.381500        
222                 2.225000            2679.775832        
223                 2.235000            2585.012068        
224                 2.245000            2094.026857        
225                 2.255000            1345.524348        
226                 2.265000            542.320460         
227                 2.275000            -115.255867        
228                 2.285000            -491.912597        
229                 2.295000            -554.093977        
230                 2.305000            -369.325562        
231                 2.315000            -70.945653         
232                 2.325000            196.447973         
233                 2.335000            329.363662         
234                 2.345000            296.512070         
235                 2.355000            139.117636         
236                 2.365000            -56.468647         
237                 2.375000            -200.283075        
238                 2.385000            -236.483745        
239                 2.395000            -162.553648        
240                 2.405000            -24.080844         
241                 2.415000            110.218720         
242                 2.425000            180.783258         
243                 2.435000            162.364440         
244                 2.445000            71.894089          
245                 2.455000            -42.854253         
246                 2.465000            -127.259090        
247                 2.475000            -144.933482        
248                 2.485000            -92.704816         
249                 2.495000            0.439700           
250                 2.505000            88.838733          
251                 2.515000            132.123788         
252                 2.525000            113.307931         
253                 2.535000            45.020132          
254                 2.545000            -38.241620         
255                 2.555000            -97.467155         
256                 2.565000            -107.559230        
257                 2.575000            -68.231318         
258                 2.585000            -2.684636          
259                 2.595000            54.730945          
260                 2.605000            75.573161          
261                 2.615000            50.819223          
262                 2.625000            -5.456913          
263                 2.635000            -63.672938         
264                 2.645000            -93.634877         
265                 2.655000            -79.409077         
266                 2.665000            -27.013221         
267                 2.675000            38.660276          
268                 2.685000            86.062817          
269                 2.695000            92.363855          
270                 2.705000            54.542066          
271                 2.715000            -9.132065          
272                 2.725000            -67.904913         
273                 2.735000            -93.376732         
274                 2.745000            -73.213988         
275                 2.755000            -17.123629         
276                 2.765000            47.812866          
277                 2.775000            90.232894          
278                 2.785000            89.724153          
279                 2.795000            46.825152          
280                 2.805000            -17.113955         
281                 2.815000            -70.262985         
282                 2.825000            -85.939398         
283                 2.835000            -55.972881         
284                 2.845000            4.805383           
285                 2.855000            65.385882          
286                 2.865000            93.687900          
287                 2.875000            72.769268          
288                 2.885000            10.160943          
289                 2.895000            -64.597020         
290                 2.905000            -113.571838        
291                 2.915000            -109.062998        
292                 2.925000            -48.318916         
293                 2.935000            43.162193          
294                 2.945000            122.134928         
295                 2.955000            147.731135         
296                 2.965000            102.065317         
297                 2.975000            1.286988           
298                 2.985000            -109.109955        
299                 2.995000            -173.844534        
300                 3.005000            -154.216931        
301                 3.015000            -49.286159         
302                 3.025000            98.799424          
303                 3.035000            219.583861         
304                 3.045000            244.582815         
305                 3.055000            140.918733         
306                 3.065000            -66.533402         
307                 3.075000            -295.681430        
308                 3.085000            -432.788934        
309                 3.095000            -374.925726        
310                 3.105000            -73.347330         
311                 3.115000            439.751584         
312                 3.125000            1053.104373        
313                 3.135000            1608.114528        
314                 3.145000            1950.019052        
315                 3.155000            1980.073353        
316                 3.165000            1689.466111        
317                 3.175000            1162.307303        
318                 3.185000            546.624635         
319                 3.195000            4.280250           
320                 3.205000            -341.629911        
321                 3.215000            -442.942008        
322                 3.225000            -334.066737        
323                 3.235000            -110.241540        
324                 3.245000            113.437923         
325                 3.255000            245.499460         
326                 3.265000            247.686545         
327                 3.275000            140.910463         
328                 3.285000            -12.204165         
329                 3.295000            -138.821768        
330                 3.305000            -187.418518        
331                 3.315000            -146.648266        
332                 3.325000            -45.246110         
333                 3.335000            64.939058          
334                 3.345000            133.894383         
335                 3.355000            134.990457         
336                 3.365000            74.250513          
337                 3.375000            -15.478717         
338                 3.385000            -91.529387         
339                 3.395000            -121.170924        
340                 3.405000            -95.227800         
341                 3.415000            -30.091984         
342                 3.425000            41.784172          
343                 3.435000            87.749379          
344                 3.445000            89.595281          
345                 3.455000            50.536376          
346                 3.465000            -7.999291          
347                 3.475000            -57.538979         
348                 3.485000            -76.050781         
349                 3.495000            -57.472023         
350                 3.505000            -13.251765         
351                 3.515000            34.209036          
352                 3.525000            62.640983          
353                 3.535000            60.122204          
354                 3.545000            29.808812          
355                 3.555000            -12.601689         
356                 3.565000            -46.990771         
357                 3.575000            -58.381939         
358                 3.585000            -43.424899         
359                 3.595000            -11.019745         
360                 3.605000            22.782810          
361                 3.615000            42.811268          
362                 3.625000            41.768888          
363                 3.635000            23.002565          
364                 3.645000            -1.923019          
365                 3.655000            -19.288176         
366                 3.665000            -19.759766         
367                 3.675000            -2.287766          
368                 3.685000            26.222643          
369                 3.695000            54.846695          
370                 3.705000            73.852954          
371                 3.715000            78.467605          
372                 3.725000            69.514406          
373                 3.735000            51.126545          
374                 3.745000            27.382272          
375                 3.755000            0.248163           
376                 3.765000            -29.678144         
377                 3.775000            -59.976817         
378                 3.785000            -82.896185         
379                 3.795000            -84.331941         
380                 3.805000            -47.170153         
381                 3.815000            41.349492          
382                 3.825000            181.050272         
383                 3.835000            353.221099         
384                 3.845000            521.677442         
385                 3.855000            641.671148         
386                 3.865000            674.369286         
387                 3.875000            601.704975         
388                 3.885000            435.474302         
389                 3.895000            216.253087         
390                 3.905000            1.521231           
391                 3.915000            -153.202762        
392                 3.925000            -213.287028        
393                 3.935000            -176.636300        
394                 3.945000            -73.366726         
395                 3.955000            46.509493          
396                 3.965000            132.584854         
397                 3.975000            153.014398         
398                 3.985000            105.442241         
399                 3.995000            15.747273          
400                 4.005000            -74.493182         
401                 4.015000            -126.295307        
402                 4.025000            -119.538427        
403                 4.035000            -60.494303         
404                 4.045000            22.220642          
405                 4.055000            91.103206          
406                 4.065000            116.503901         
407                 4.075000            89.292750          
408                 4.085000            24.074549          
409                 4.095000            -48.153065         
410                 4.105000            -94.354738         
411                 4.115000            -94.291612         
412                 4.125000            -49.250010         
413                 4.135000            19.065680          
414                 4.145000            78.761418          
415                 4.155000            102.348036         
416                 4.165000            79.093086          
417                 4.175000            19.639678          
418                 4.185000            -49.053534         
419                 4.195000            -96.041716         
420                 4.205000            -100.368115        
421                 4.215000            -60.399593         
422                 4.225000            5.606037           
423                 4.235000            67.861268          
424                 4.245000            98.507678          
425                 4.255000            84.105312          
426                 4.265000            31.578676          
427                 4.275000            -34.986331         
428                 4.285000            -85.205735         
429                 4.295000            -96.042243         
430                 4.305000            -62.159143         
431                 4.315000            1.587296           
432                 4.325000            66.590712          
433                 4.335000            103.022069         
434                 4.345000            92.966440          
435                 4.355000            38.493014          
436                 4.365000            -38.757177         
437                 4.375000            -106.197510        
438                 4.385000            -133.391987        
439                 4.395000            -104.102721        
440                 4.405000            -22.401135         
441                 4.415000            89.372606          
442                 4.425000            199.540253         
443                 4.435000            278.892397         
444                 4.445000            310.471115         
445                 4.455000            293.673159         
446                 4.465000            241.714241         
447                 4.475000            174.362627         
448                 4.485000            109.617778         
449                 4.495000            57.982600          
450                 4.505000            21.320943          
451                 4.515000            -4.095319          
452                 4.525000            -22.686094         
453                 4.535000            -35.751685         
454                 4.545000            -40.766550         
455                 4.555000            -33.897546         
456                 4.565000            -14.010767         
457                 4.575000            14.425279          
458                 4.585000            41.560135          
459                 4.595000            55.827152          
460                 4.605000            49.431253          
461                 4.615000            22.860766          
462                 4.625000            -14.132760         
463                 4.635000            -46.039701         
464                 4.645000            -58.318037         
465                 4.655000            -44.331976         
466                 4.665000            -9.130366          
467                 4.675000            32.030049          
468                 4.685000            60.117194          
469                 4.695000            61.002080          
470                 4.705000            32.411493          
471                 4.715000            -14.255198         
472                 4.725000            -58.433914         
473                 4.735000            -79.497301         
474                 4.745000            -66.443008         
475                 4.755000            -23.639788         
476                 4.765000            30.322470          
477                 4.775000            70.578791          
478                 4.785000            77.438582          
479                 4.795000            46.189996          
480                 4.805000            -9.470930          
481                 4.815000            -62.481317         
482                 4.825000            -84.240956         
483                 4.835000            -58.284489         
484                 4.845000            10.387524          
485                 4.855000            95.029022          
486                 4.865000            156.935276         
487                 4.875000            161.896209         
488                 4.885000            96.681917          
489                 4.895000            -21.645307         
490                 4.905000            -148.304837        
491                 4.915000            -225.308710        
492                 4.925000            -202.992854        
493                 4.935000            -60.443501         
494                 4.945000            183.348123         
495                 4.955000            472.508580         
496                 4.965000            731.044599         
497                 4.975000            887.581258         
498                 4.985000            899.132998         
499                 4.995000            765.219802         
500                 5.005000            527.247519         
501                 5.015000            253.608301         
502                 5.025000            16.244549          
503                 5.035000            -132.596846        
504                 5.045000            -175.119447        
505                 5.055000            -129.508709        
506                 5.065000            -38.714609         
507                 5.075000            48.291728          
508                 5.085000            95.110407          
509                 5.095000            89.359438          
510                 5.105000            43.350774          
511                 5.115000            -15.076000         
512                 5.125000            -56.797850         
513                 5.135000            -64.350948         
514                 5.145000            -38.310020         
515                 5.155000            4.949044           
516                 5.165000            42.328558          
517                 5.175000            55.353532          
518                 5.185000            38.551938          
519                 5.195000            1.292098           
520                 5.205000            -37.382765         
521                 5.215000            -58.221262         
522                 5.225000            -51.006811         
523                 5.235000            -19.313076         
524                 5.245000            21.332238          
525                 5.255000            50.929578          
526                 5.265000            54.621075          
527                 5.275000            29.963273          
528                 5.285000            -11.553269         
529                 5.295000            -49.554471         
530                 5.305000            -64.238411         
531                 5.315000            -46.016086         
532                 5.325000            -0.899494          
533                 5.335000            51.061051          
534                 5.345000            84.012985          
535                 5.355000            77.979347          
536                 5.365000            29.076566          
537                 5.375000            -46.276995         
538                 5.385000            -115.431348        
539                 5.395000            -140.812541        
540                 5.405000            -94.415171         
541                 5.415000            30.056231          
542                 5.425000            212.262227         
543                 5.435000            409.786974         
544                 5.445000            570.911570         
545                 5.455000            651.221841         
546                 5.465000            628.179229         
547                 5.475000            508.481462         
548                 5.485000            325.652617         
549                 5.495000            128.830623         
550                 5.505000            -33.165161         
551                 5.515000            -126.849332        
552                 5.525000            -143.069686        
553                 5.535000            -97.254765         
554                 5.545000            -21.423239         
555                 5.555000            48.632140          
556                 5.565000            86.077622          
557                 5.575000            81.169433          
558                 5.585000            42.288802          
559                 5.595000            -9.802833          
560                 5.605000            -51.680277         
561                 5.615000            -66.881319         
562                 5.625000            -51.764053         
563                 5.635000            -15.677749         
564                 5.645000            24.098044          
565                 5.655000            50.173152          
566                 5.665000            52.254770          
567                 5.675000            30.877609          
568                 5.685000            -3.594756          
569                 5.695000            -35.939508         
570                 5.705000            -52.689587         
571                 5.715000            -47.552005         
572                 5.725000            -23.471651         
573                 5.735000            9.282854           
574                 5.745000            37.933173          
575                 5.755000            52.677289          
576                 5.765000            50.475845          
577                 5.775000            35.639209          
578                 5.785000            17.183507          
579                 5.795000            4.330162           
580                 5.805000            2.263291           
581                 5.815000            10.037330          
582                 5.825000            21.476433          
583                 5.835000            28.519198          
584                 5.845000            25.363969          
585                 5.855000            11.445329          
586                 5.865000            -8.148657          
587                 5.875000            -25.002683         
588                 5.885000            -31.349505         
589                 5.895000            -23.831170         
590                 5.905000            -5.273285          
591                 5.915000            16.392709          
592                 5.925000            31.611528          
593                 5.935000            33.523466          
594                 5.945000            21.143273          
595                 5.955000            -0.086743          
596                 5.965000            -20.672321         
597                 5.975000            -31.334443         
598                 5.985000            -27.244654         
599                 5.995000            -10.285732         
