bin                 q                   two_theta           Fx                  Icoh               
0                   0.005000            0.070243            103.199471          20421.674189       
1                   0.015000            0.210729            94.698437           18755.660298       
2                   0.025000            0.351215            78.944504           15668.469719       
3                   0.035000            0.491702            58.215745           11606.910831       
4                   0.045000            0.632190            35.425307           7142.208064        
5                   0.055000            0.772678            13.624655           2872.469863        
6                   0.065000            0.913168            -4.502035           -676.515230        
7                   0.075000            1.053659            -17.059367          -3133.889999       
8                   0.085000            1.194152            -23.203470          -4335.099889       
9                   0.095000            1.334646            -23.203790          -4333.783132       
10                  0.105000            1.475142            -18.301666          -3373.791314       
11                  0.115000            1.615641            -10.402499          -1828.638196       
12                  0.125000            1.756142            -1.668869           -121.651230        
13                  0.135000            1.896646            5.902012            1356.786244        
14                  0.145000            2.037152            10.834368           2318.796929        
15                  0.155000            2.177662            12.398852           2622.766798        
16                  0.165000            2.318175            10.671655           2284.558142        
17                  0.175000            2.458691            6.428208            1456.378363        
18                  0.185000            2.599212            0.905380            380.037028         
19                  0.195000            2.739736            -4.509330           -673.884326        
20                  0.205000            2.880264            -8.591839           -1467.287776       
21                  0.215000            3.020796            -10.533024          -1843.411085       
22                  0.225000            3.161333            -10.079453          -1753.924050       
23                  0.235000            3.301875            -7.541715           -1260.163485       
24                  0.245000            3.442422            -3.678417           -510.206528        
25                  0.255000            3.582974            0.509821            301.427755         
26                  0.265000            3.723531            4.024823            981.341492         
27                  0.275000            3.864094            6.097099            1381.057832        
28                  0.285000            4.004663            6.344823            1427.574809        
29                  0.295000            4.145237            4.834435            1134.730001        
30                  0.305000            4.285818            2.035509            594.079152         
31                  0.315000            4.426406            -1.313339           -51.342175         
32                  0.325000            4.567000            -4.391767           -643.357480        
33                  0.335000            4.707601            -6.492492           -1046.203922       
34                  0.345000            4.848209            -7.178669           -1176.654243       
35                  0.355000            4.988824            -6.369919           -1020.236922       
36                  0.365000            5.129447            -4.341146           -630.616595        
37                  0.375000            5.270078            -1.639063           -113.211405        
38                  0.385000            5.410716            1.060035            402.314250         
39                  0.395000            5.551363            3.115357            793.724165         
40                  0.405000            5.692018            4.070151            974.488613         
41                  0.415000            5.832682            3.749982            912.267725         
42                  0.425000            5.973354            2.290268            633.785848         
43                  0.435000            6.114036            0.089913            215.626709         
