bin                 q                   two_theta           Fx                  Icoh               
0                   0.050000            0.702434            20.111684           4142.987017        
1                   0.150000            2.107407            -4.947072           -761.154630        
2                   0.250000            3.512697            -1.692810           -125.239943        
3                   0.350000            4.918516            1.383084            466.001235         
4                   0.450000            6.325076            -3.632503           -489.165030        
5                   0.550000            7.732590            0.675926            320.826037         
6                   0.650000            9.141274            -1.437557           -71.122619         
7                   0.750000            10.551344           -1.792869           -133.061105        
8                   0.850000            11.963018           0.265211            229.406530         
9                   0.950000            13.376516           -2.324667           -217.175756        
10                  1.050000            14.792062           -0.417465           104.613945         
11                  1.150000            16.209882           -0.862909           29.901068          
12                  1.250000            17.630205           -1.850372           -125.527521        
13                  1.350000            19.053263           -0.094626           144.623321         
14                  1.450000            20.479293           -1.783928           -108.537516        
15                  1.550000            21.908537           -0.827721           31.041501          
16                  1.650000            23.341239           -0.522823           72.000639          
17                  1.750000            24.777651           -2.226803           -158.268705        
18                  1.850000            26.218030           0.164348            155.971795         
19                  1.950000            27.662637           -0.550878           61.200026          
20                  2.050000            29.111742           -2.403377           -165.140481        
21                  2.150000            30.565622           3.018728            474.444016         
22                  2.250000            32.024559           6.522716            854.644521         
23                  2.350000            33.488848           0.179629            132.659975         
24                  2.450000            34.958788           -2.934323           -200.774377        
25                  2.550000            36.434690           0.539549            160.346361         
26                  2.650000            37.916875           -1.683604           -64.360709         
27                  2.750000            39.405676           -1.634316           -57.584457         
28                  2.850000            40.901437           0.605902            150.498415         
29                  2.950000            42.404515           -3.354971           -206.980201        
30                  3.050000            43.915281           1.498250            217.173974         
31                  3.150000            45.434120           7.253537            688.227966         
32                  3.250000            46.961436           0.753195            143.034631         
33                  3.350000            48.497646           -2.105999           -83.887054         
34                  3.450000            50.043191           -0.658244           27.674535          
35                  3.550000            51.598528           -0.886749           10.155826          
36                  3.650000            53.164139           -1.202000           -12.356991         
37                  3.750000            54.740527           -0.406573           42.267314          
38                  3.850000            56.328224           2.713416            246.923417         
39                  3.950000            57.927787           0.351678            88.208073          
40                  4.050000            59.539806           -2.141627           -69.031062         
41                  4.150000            61.164904           0.052113            64.958985          
42                  4.250000            62.803738           -1.880857           -49.629444         
