bin                 q                   two_theta           Fx                  Icoh               
0                   0.005000            0.070243            103.218743          20425.449663       
1                   0.015000            0.210729            94.850334           18785.415847       
2                   0.025000            0.351215            79.333167           15744.600506       
3                   0.035000            0.491702            58.893315           11739.618475       
4                   0.045000            0.632190            36.377527           7328.681651        
5                   0.055000            0.772678            14.768200           3096.371222        
6                   0.065000            0.913168            -3.309809           -443.131963        
7                   0.075000            1.053659            -15.999671          -2926.501285       
8                   0.085000            1.194152            -22.467549          -4191.116681       
9                   0.095000            1.334646            -22.961183          -4286.332005       
10                  0.105000            1.475142            -18.670376          -3445.881221       
11                  0.115000            1.615641            -11.425977          -2028.670617       
12                  0.125000            1.756142            -3.303669           -441.027401        
13                  0.135000            1.896646            3.785704            943.531157         
14                  0.145000            2.037152            8.439073            1851.294047        
15                  0.155000            2.177662            9.974829            2149.906193        
16                  0.165000            2.318175            8.484135            1858.072613        
17                  0.175000            2.458691            4.721594            1123.849769        
18                  0.185000            2.599212            -0.130391           178.347523         
19                  0.195000            2.739736            -4.765310           -723.696777        
20                  0.205000            2.880264            -8.055621           -1363.015628       
21                  0.215000            3.020796            -9.291005           -1602.066789       
22                  0.225000            3.161333            -8.305459           -1409.472493       
23                  0.235000            3.301875            -5.473581           -858.921118        
24                  0.245000            3.442422            -1.585867           -104.565738        
25                  0.255000            3.582974            2.361442            660.053217         
26                  0.265000            3.723531            5.409815            1249.347792        
27                  0.275000            3.864094            6.858699            1528.295524        
28                  0.285000            4.004663            6.414439            1441.020343        
29                  0.295000            4.145237            4.238198            1019.687950        
30                  0.305000            4.285818            0.887375            372.778836         
31                  0.315000            4.426406            -2.830778           -343.514047        
32                  0.325000            4.567000            -6.055812           -963.405783        
33                  0.335000            4.707601            -8.073923           -1350.019610       
34                  0.345000            4.848209            -8.475416           -1425.488949       
35                  0.355000            4.988824            -7.235866           -1186.206704       
36                  0.365000            5.129447            -4.705895           -700.439832        
37                  0.375000            5.270078            -1.515878           -89.659969         
38                  0.385000            5.410716            1.579075            501.421006         
39                  0.395000            5.551363            3.876042            938.780040         
40                  0.405000            5.692018            4.881909            1129.075279        
41                  0.415000            5.832682            4.416666            1039.052208        
42                  0.425000            5.973354            2.641173            700.424319         
43                  0.435000            6.114036            0.006331            199.776880         
44                  0.445000            6.254727            -2.861395           -343.521803        
45                  0.455000            6.395427            -5.309250           -805.816158        
46                  0.465000            6.536137            -6.806715           -1087.273247       
47                  0.475000            6.676856            -7.059466           -1133.216234       
48                  0.485000            6.817586            -6.064334           -944.140432        
49                  0.495000            6.958326            -4.095430           -572.679597        
50                  0.505000            7.099077            -1.627868           -108.868999        
51                  0.515000            7.239838            0.780463            342.320980         
52                  0.525000            7.380610            2.619834            685.618811         
53                  0.535000            7.521394            3.541547            856.464168         
54                  0.545000            7.662188            3.427543            833.735830         
55                  0.555000            7.802995            2.402791            641.690360         
56                  0.565000            7.943813            0.790521            341.247833         
57                  0.575000            8.084643            -0.976303           13.246287          
58                  0.585000            8.225485            -2.464191           -261.959349        
59                  0.595000            8.366340            -3.342154           -423.535663        
60                  0.605000            8.507208            -3.454389           -443.400664        
61                  0.615000            8.648088            -2.846780           -330.799076        
62                  0.625000            8.788982            -1.743125           -127.581327        
63                  0.635000            8.929888            -0.479216           104.195806         
64                  0.645000            9.070809            0.587257            298.954964         
65                  0.655000            9.211743            1.167939            404.294876         
66                  0.665000            9.352691            1.113745            393.606126         
67                  0.675000            9.493653            0.447119            271.680239         
68                  0.685000            9.634630            -0.649928           72.217158          
69                  0.695000            9.775621            -1.887515           -151.834478        
