bin                 q                   Fx                  Icoh               
127                 6.375000            102.806564          0.377706            3.853613           
128                 6.425000            103.939587          0.444036            4.005293           
129                 6.475000            105.087117          0.509681            4.152859           
130                 6.525000            106.249848          0.573674            4.293799           
131                 6.575000            107.428524          0.634978            4.425479           
132                 6.625000            108.623951          0.692525            4.545261           
133                 6.675000            109.836998          0.745259            4.650622           
134                 6.725000            111.068612          0.792188            4.739272           
135                 6.775000            112.319822          0.832430            4.809275           
136                 6.825000            113.591749          0.865256            4.859147           
137                 6.875000            114.885624          0.890127            4.887934           
138                 6.925000            116.202798          0.906725            4.895265           
139                 6.975000            117.544760          0.914965            4.881374           
140                 7.025000            118.913161          0.914999            4.847082           
141                 7.075000            120.309835          0.907210            4.793760           
142                 7.125000            121.736832          0.892183            4.723249           
143                 7.175000            123.196454          0.870679            4.637767           
144                 7.225000            124.691300          0.843587            4.539790           
145                 7.275000            126.224327          0.811882            4.431935           
146                 7.325000            127.798915          0.776572            4.316828           
147                 7.375000            129.418964          0.738647            4.196990           
148                 7.425000            131.089011          0.699040            4.074734           
149                 7.475000            132.814382          0.658587            3.952079           
150                 7.525000            134.601405          0.617993            3.830697           
151                 7.575000            136.457691          0.577824            3.711878           
152                 7.625000            138.392530          0.538490            3.596525           
153                 7.675000            140.417463          0.500257            3.485180           
154                 7.725000            142.547122          0.463255            3.378062           
155                 7.775000            144.800537          0.427502            3.275127           
156                 7.825000            147.203232          0.392933            3.176141           
157                 7.875000            149.790834          0.359424            3.080749           
158                 7.925000            152.615740          0.326828            2.988548           
159                 7.975000            155.760812          0.294999            2.899152           
160                 8.025000            159.372018          0.263818            2.812242           
161                 8.075000            163.757393          0.233209            2.727603           
162                 8.125000            169.877623          0.203148            2.645141           
163                 8.175000            -1.000000           0.173669            2.564889           
164                 8.225000            -1.000000           0.144857            2.486993           
165                 8.275000            -1.000000           0.116838            2.411685           
166                 8.325000            -1.000000           0.089768            2.339251           
167                 8.375000            -1.000000           0.063811            2.269994           
168                 8.425000            -1.000000           0.039125            2.204195           
169                 8.475000            -1.000000           0.015844            2.142076           
170                 8.525000            -1.000000           -0.005935           2.083777           
171                 8.575000            -1.000000           -0.026162           2.029335           
172                 8.625000            -1.000000           -0.044841           1.978680           
173                 8.675000            -1.000000           -0.062024           1.931637           
174                 8.725000            -1.000000           -0.077811           1.887940           
175                 8.775000            -1.000000           -0.092338           1.847256           
176                 8.825000            -1.000000           -0.105764           1.809212           
177                 8.875000            -1.000000           -0.118258           1.773423           
178                 8.925000            -1.000000           -0.129982           1.739526           
179                 8.975000            -1.000000           -0.141084           1.707198           
180                 9.025000            -1.000000           -0.151677           1.676187           
181                 9.075000            -1.000000           -0.161842           1.646314           
182                 9.125000            -1.000000           -0.171617           1.617485           
183                 9.175000            -1.000000           -0.181004           1.589681           
184                 9.225000            -1.000000           -0.189969           1.562951           
185                 9.275000            -1.000000           -0.198450           1.537395           
186                 9.325000            -1.000000           -0.206372           1.513138           
187                 9.375000            -1.000000           -0.213653           1.490315           
188                 9.425000            -1.000000           -0.220217           1.469043           
189                 9.475000            -1.000000           -0.226005           1.449407           
190                 9.525000            -1.000000           -0.230981           1.431446           
191                 9.575000            -1.000000           -0.235139           1.415144           
192                 9.625000            -1.000000           -0.238502           1.400429           
193                 9.675000            -1.000000           -0.241120           1.387180           
194                 9.725000            -1.000000           -0.243069           1.375235           
195                 9.775000            -1.000000           -0.244438           1.364408           
196                 9.825000            -1.000000           -0.245328           1.354502           
197                 9.875000            -1.000000           -0.245833           1.345329           
198                 9.925000            -1.000000           -0.246040           1.336724           
199                 9.975000            -1.000000           -0.246016           1.328556           
200                 10.025000           -1.000000           -0.245807           1.320740           
201                 10.075000           -1.000000           -0.245429           1.313239           
202                 10.125000           -1.000000           -0.244876           1.306059           
203                 10.175000           -1.000000           -0.244116           1.299247           
204                 10.225000           -1.000000           -0.243102           1.292879           
