type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
1.145000            -0.071379           0.259405            0.259405            -0.071379           
1.155000            -0.587820           0.219475            0.219475            -0.587820           
1.165000            -1.136201           0.215810            0.215810            -1.136201           
1.175000            -1.685109           0.246507            0.246507            -1.685109           
1.185000            -2.203221           0.307581            0.307581            -2.203221           
1.195000            -2.661120           0.393213            0.393213            -2.661120           
1.205000            -3.032984           0.496124            0.496124            -3.032984           
1.215000            -3.298062           0.608046            0.608046            -3.298062           
1.225000            -3.441856           0.720252            0.720252            -3.441856           
1.235000            -3.456937           0.824137            0.824137            -3.456937           
1.245000            -3.343352           0.911775            0.911775            -3.343352           
1.255000            -3.108608           0.976455            0.976455            -3.108608           
1.265000            -2.767218           1.013124            1.013124            -2.767218           
1.275000            -2.339860           1.018743            1.018743            -2.339860           
1.285000            -1.852171           0.992495            0.992495            -1.852171           
1.295000            -1.333266           0.935863            0.935863            -1.333266           
1.305000            -0.814053           0.852543            0.852543            -0.814053           
1.315000            -0.325445           0.748215            0.748215            -0.325445           
1.325000            0.103430            0.630177            0.630177            0.103430            
1.335000            0.446923            0.506857            0.506857            0.446923            
1.345000            0.684364            0.387253            0.387253            0.684364            
1.355000            0.801281            0.280309            0.280309            0.801281            
1.365000            0.790274            0.194296            0.194296            0.790274            
1.375000            0.651484            0.136212            0.136212            0.651484            
1.385000            0.392638            0.111266            0.111266            0.392638            
1.395000            0.028661            0.122463            0.122463            0.028661            
1.405000            -0.419125           0.170331            0.170331            -0.419125           
1.415000            -0.924180           0.252805            0.252805            -0.924180           
1.425000            -1.456225           0.365289            0.365289            -1.456225           
1.435000            -1.982952           0.500891            0.500891            -1.982952           
1.445000            -2.471876           0.650813            0.650813            -2.471876           
1.455000            -2.892212           0.804897            0.804897            -2.892212           
1.465000            -3.216681           0.952276            0.952276            -3.216681           
1.475000            -3.423156           1.082096            1.082096            -3.423156           
1.485000            -3.496026           1.184276            1.184276            -3.496026           
1.495000            -3.427231           1.250236            1.250236            -3.427231           
1.505000            -3.216884           1.273570            1.273570            -3.216884           
1.515000            -2.873448           1.250592            1.250592            -2.873448           
1.525000            -2.413451           1.180741            1.180741            -2.413451           
1.535000            -1.860753           1.066788            1.066788            -1.860753           
1.545000            -1.245377           0.914842            0.914842            -1.245377           
1.555000            -0.601990           0.734136            0.734136            -0.601990           
1.565000            0.031919            0.536600            0.536600            0.031919            
1.575000            0.618056            0.336235            0.336235            0.618056            
1.585000            1.119433            0.148316            0.148316            1.119433            
1.595000            1.502466            -0.011525           -0.011525           1.502466            
1.605000            1.738953            -0.128297           -0.128297           1.738953            
1.615000            1.807807            -0.188675           -0.188675           1.807807            
1.625000            1.696481            -0.181974           -0.181974           1.696481            
1.635000            1.401965            -0.101035           -0.101035           1.401965            
1.645000            0.931337            0.057050            0.057050            0.931337            
1.655000            0.301793            0.290422            0.290422            0.301793            
1.665000            -0.459829           0.592172            0.592172            -0.459829           
1.675000            -1.318037           0.950346            0.950346            -1.318037           
1.685000            -2.230130           1.348221            1.348221            -2.230130           
1.695000            -3.148047           1.764870            1.764870            -3.148047           
1.705000            -4.020535           2.175990            2.175990            -4.020535           
1.715000            -4.795534           2.554956            2.554956            -4.795534           
1.725000            -5.422666           2.874056            2.874056            -5.422666           
1.735000            -5.855709           3.105855            3.105855            -5.855709           
1.745000            -6.054939           3.224599            3.224599            -6.054939           
1.755000            -5.989223           3.207617            3.207617            -5.989223           
1.765000            -5.637756           3.036616            3.036616            -5.637756           
1.775000            -4.991363           2.698825            2.698825            -4.991363           
1.785000            -4.053287           2.187899            2.187899            -4.053287           
1.795000            -2.839427           1.504561            1.504561            -2.839427           
1.805000            -1.377996           0.656906            0.656906            -1.377996           
1.815000            0.291368            -0.339626           -0.339626           0.291368            
1.825000            2.119044            -1.462632           -1.462632           2.119044            
